Genus,Species,# of instenses,Area Size (sq. ft.),Nieghborhood,Latitude,Longitude,Median Income,Native vs Non-Native,Ecoregion,Initials
Example: Quercus,Virgininna,8,325,Central East Austin,37.619,141.55,"$77,569.00",Native 1/ Non-Native 0,Blackland Prairie (1),MT
Carya,C. illinoinesis,3,300,Givens Park,30.2763,-97.6918,"$62,876.00",1,1,MT
Pistacia,P. chinensis,5,300,Givens Park,30.2763,-97.6918,"$62,876.00",0,1,MT
Combretum,C. erythrophyllum,9,300,Givens Park,30.2763,-97.6918,"$62,876.00",1,1,MT
Magnolia,Magnolia Virgininna,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"$93,850.00",1,1,MT
Quercus,Q. acutissima,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"$93,850.00",0,1,MT
Quercus,Q. lobata,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"$93,850.00",0,1,MT
Ehretia,E. anacua,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"$93,850.00",1,1,MT
Quercus,Q. alba,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"$93,850.00",1,1,MT
Ulmus,P. chinensis,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"$93,850.00",0,1,MT
Populus,P. deltoides,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"$93,850.00",1,1,MT
Lagerstroemia,L. indica,2,300,Huston-Tillotson Univ.,30.2646,-97.7223,"$93,850.00",0,1,MT
Rosa,R. Altissimo,8,300,Huston-Tillotson Univ.,30.2646,-97.7223,"$93,850.00",0,1,MT